theta,victim_fidelity,baseline_x_expectation,attacked_x_expectation,z_zero_probability
1.1780972450961724,0.573223304703363,0.9238795325112866,0.0,0.6913417161825449
1.185951226730147,0.5704684255592027,0.9268565956401208,0.0,0.6877077856126415
1.1938052083641215,0.5677578431446471,0.9297764858882513,0.0,0.684062276342339
1.201659189998096,0.5650922262553475,0.9326390231430941,0.0,0.6804054132438209
1.2095131716320704,0.5624722325923851,0.9354440308298673,0.0,0.6767374218896286
1.2173671532660448,0.5598985085999922,0.938191335922484,0.0,0.6730585285387465
1.2252211349000195,0.5573716893060526,0.9408807689542255,0.0,0.6693689601226457
1.233075116533994,0.5548923981654176,0.9435121640281937,0.0,0.6656689442312855
1.2409290981679684,0.5524612469060775,0.9460853588275453,0.0,0.6619587090990747
1.2487830798019428,0.5500788353782272,0.9486001946255045,0.0,0.658238483590793
1.2566370614359172,0.5477457514062632,0.9510565162951536,0.0,0.6545084971874737
1.264491043069892,0.5454625706437443,0.9534541723190014,0.0,0.6507689799722478
1.2723450247038663,0.5432298564313596,0.9557930147983302,0.0,0.647020162616152
1.2801990063378408,0.5410481596579324,0.9580728994623192,0.0,0.6432622763638991
1.2880529879718152,0.5389180186244963,0.9602936856769431,0.0,0.6394955530196147
1.2959069696057899,0.536839958911477,0.9624552364536475,0.0,0.6357202249325371
1.3037609512397643,0.5348144932490141,0.9645574184577982,0.0,0.6319365249826864
1.3116149328737388,0.5328421213904522,0.9666001020169073,0.0,0.6281446865664984
1.3194689145077132,0.5309233299890339,0.9685831611286311,0.0,0.6243449435824273
1.3273228961416876,0.5290585924778266,0.9705064734685425,0.0,0.6205375304165193
1.3351768777756623,0.5272483689529079,0.9723699203976767,0.0,0.6167226819279525
1.3430308594096367,0.5254931060598461,0.9741733869698493,0.0,0.6129006334345519
1.3508848410436112,0.523793236883495,0.9759167619387473,0.0,0.6090716206982713
1.3587388226775856,0.5221491808411385,0.9775999377647906,0.0,0.6052358799106528
1.36659280431156,0.5205613435790047,0.9792228106217659,0.0,0.6013936476782562
1.3744467859455347,0.5190301168721783,0.9807852804032305,0.0,0.597545161008064
1.3823007675795091,0.517555878527937,0.9822872507286886,0.0,0.5936906572928622
1.3901547492134836,0.5161389922925331,0.9837286289495359,0.0,0.5898303742965962
1.398008730847458,0.5147798077614435,0.9851093261547739,0.0,0.5859645501397047
1.4058627124814325,0.5134786602931135,0.9864292571764953,0.0,0.5820934232844314
1.4137166941154071,0.5122358709262117,0.9876883405951379,0.0,0.5782172325201155
1.4215706757493816,0.5110517463004174,0.9888864987445045,0.0,0.5743362169484615
1.429424657383356,0.5099265785807642,0.9900236577165575,0.0,0.5704506159687912
1.4372786390173304,0.5088606453855504,0.9910997473659747,0.0,0.5665606692632761
1.4451326206513049,0.5078542097178422,0.9921147013144779,0.0,0.5626666167821522
1.4529866022852795,0.5069075199005808,0.9930684569549263,0.0,0.5587686987289188
1.460840583919254,0.5060208095153131,0.9939609554551796,0.0,0.5548671555455226
1.4686945655532284,0.5051942973445586,0.9947921417617265,0.0,0.5509622278975249
1.4765485471872029,0.5044281873178278,0.99556196460308,0.0,0.5470541566592572
1.4844025288211773,0.5037226684613065,0.9962703764929413,0.0,0.5431431828989617
1.492256510455152,0.5030779148512154,0.996917333733128,0.0,0.5392295478639223
1.5001104920891264,0.5024940855708605,0.99750279641627,0.0,0.5353134929655833
1.5079644737231008,0.5019713246713806,0.9980267284282717,0.0,0.5313952597646567
1.5158184553570753,0.501509761136205,0.9984890974505379,0.0,0.5274750899562228
1.5236724369910497,0.5011095088492301,0.99888987496197,0.0,0.5235532253548213
1.5315264186250244,0.500770666566718,0.9992290362407229,0.0,0.5196299078795342
1.5393804002589988,0.5004933178929323,0.9995065603657317,0.0,0.5157053795390641
1.5472343818929732,0.5002775312595076,0.9997224302180006,0.0,0.511779882416805
1.5550883635269477,0.500123359908567,0.9998766324816605,0.0,0.5078536586559103
1.5629423451609221,0.5000308418795849,0.9999691576447898,0.0,0.5039269504443556
1.5707963267948968,0.5,1.0,0.0,0.4999999999999999
1.5786503084288712,0.5000308418795848,0.9999691576447897,0.0,0.49607304955564424
1.5865042900628457,0.5001233599085672,0.9998766324816607,0.0,0.49214634134408963
1.59435827169682,0.5002775312595076,0.9997224302180006,0.0,0.4882201175831949
1.6022122533307945,0.500493317892932,0.9995065603657315,0.0,0.48429462046093585
1.6100662349647692,0.500770666566718,0.9992290362407229,0.0,0.48037009212046566
1.6179202165987436,0.5011095088492299,0.9988898749619699,0.0,0.47644677464517854
1.625774198232718,0.5015097611362049,0.9984890974505378,0.0,0.472524910043777
1.6336281798666925,0.5019713246713805,0.9980267284282716,0.0,0.4686047402353432
1.641482161500667,0.5024940855708605,0.99750279641627,0.0,0.46468650703441666
1.6493361431346416,0.5030779148512156,0.9969173337331279,0.0,0.4607704521360774
1.657190124768616,0.5037226684613066,0.9962703764929414,0.0,0.4568568171010383
1.6650441064025905,0.5044281873178278,0.99556196460308,0.0,0.4529458433407428
1.672898088036565,0.5051942973445586,0.9947921417617265,0.0,0.4490377721024749
1.6807520696705394,0.5060208095153131,0.9939609554551796,0.0,0.44513284445447737
1.688606051304514,0.5069075199005808,0.9930684569549262,0.0,0.44123130127108107
1.6964600329384885,0.5078542097178422,0.9921147013144779,0.0,0.4373333832178478
1.704314014572463,0.5088606453855504,0.9910997473659747,0.0,0.4334393307367238
1.7121679962064373,0.5099265785807643,0.9900236577165576,0.0,0.4295493840312087
1.7200219778404118,0.5110517463004174,0.9888864987445045,0.0,0.4256637830515385
1.7278759594743864,0.5122358709262117,0.9876883405951377,0.0,0.4217827674798844
1.7357299411083609,0.5134786602931137,0.9864292571764954,0.0,0.41790657671556847
1.7435839227423353,0.5147798077614435,0.9851093261547739,0.0,0.41403544986029517
1.7514379043763098,0.5161389922925331,0.9837286289495359,0.0,0.41016962570340376
1.7592918860102844,0.517555878527937,0.9822872507286886,0.0,0.4063093427071376
1.7671458676442588,0.5190301168721784,0.9807852804032304,0.0,0.40245483899193585
1.7749998492782333,0.5205613435790046,0.9792228106217656,0.0,0.39860635232174363
1.7828538309122077,0.5221491808411387,0.9775999377647907,0.0,0.39476412008934714
1.7907078125461822,0.523793236883495,0.9759167619387473,0.0,0.39092837930172875
1.7985617941801568,0.525493106059846,0.9741733869698491,0.0,0.387099366565448
1.8064157758141313,0.527248368952908,0.9723699203976766,0.0,0.3832773180720473
1.8142697574481057,0.5290585924778268,0.9705064734685426,0.0,0.3794624695834807
1.8221237390820801,0.5309233299890341,0.9685831611286312,0.0,0.3756550564175726
1.8299777207160546,0.5328421213904522,0.9666001020169073,0.0,0.3718553134335017
1.8378317023500292,0.5348144932490142,0.9645574184577981,0.0,0.36806347501731346
1.8456856839840037,0.536839958911477,0.9624552364536473,0.0,0.36427977506746273
1.8535396656179781,0.5389180186244963,0.9602936856769431,0.0,0.3605044469803853
1.8613936472519526,0.5410481596579323,0.958072899462319,0.0,0.3567377236361008
1.869247628885927,0.5432298564313596,0.95579301479833,0.0,0.35297983738384797
1.8771016105199017,0.5454625706437441,0.9534541723190012,0.0,0.34923102002775214
1.884955592153876,0.5477457514062631,0.9510565162951534,0.0,0.34549150281252616
1.8928095737878505,0.5500788353782274,0.9486001946255046,0.0,0.3417615164092069
1.900663555421825,0.5524612469060775,0.9460853588275453,0.0,0.3380412909009253
1.9085175370557994,0.5548923981654175,0.9435121640281935,0.0,0.33433105576871447
1.916371518689774,0.5573716893060527,0.9408807689542253,0.0,0.3306310398773542
1.9242255003237485,0.5598985085999925,0.9381913359224842,0.0,0.32694147146125346
1.932079481957723,0.5624722325923851,0.9354440308298673,0.0,0.3232625781103714
1.9399334635916974,0.5650922262553475,0.9326390231430941,0.0,0.3195945867561791
1.9477874452256718,0.5677578431446471,0.9297764858882513,0.0,0.315937723657661
1.9556414268596465,0.5704684255592029,0.9268565956401207,0.0,0.3122922143873584
1.963495408493621,0.573223304703363,0.9238795325112866,0.0,0.3086582838174551
1.9713493901275954,0.5760218008519213,0.9208454801410262,0.0,0.3050361561059058
1.9792033717615698,0.5788632235178278,0.917754625683981,0.0,0.30142605468260963
1.9870573533955442,0.5817468716225567,0.9146071597986136,0.0,0.2978282022356275
1.994911335029519,0.584672033669087,0.9114032766354452,0.0,0.2942428206974455
2.0027653166634933,0.587637987917454,0.9081431738250811,0.0,0.2906701312312859
2.0106192982974678,0.5906440025628275,0.9048270524660194,0.0,0.2871103542174636
2.018473279931442,0.5936893359160736,0.9014551171122457,0.0,0.283563709239793
2.0263272615654166,0.596773236586756,0.8980275757606155,0.0,0.2800304150720424
2.034181243199391,0.599894943668529,0.8945446398380251,0.0,0.2765106896644395
2.0420352248333655,0.6030536869268815,0.8910065241883679,0.0,0.2730047501302266
2.0498892064673404,0.6062486869891806,0.887413447059283,0.0,0.2695128127322686
2.057743188101315,0.6094791555369675,0.8837656300886932,0.0,0.26603509286971316
